"","age","sex","age_cat","race","juv_fel_count","decile_score","juv_misd_count","juv_other_count","priors_count","c_charge_desc","is_recid","score_text"
"1",69,"Male","Greater than 45","Other",0,1,0,0,0,"Aggravated Assault w/Firearm",0,"Low"
"2",69,"Male","Greater than 45","Other",0,1,0,0,0,"Aggravated Assault w/Firearm",0,"Low"
"4",34,"Male","25 - 45","African-American",0,3,0,0,0,"Felony Battery w/Prior Convict",1,"Low"
"5",24,"Male","Less than 25","African-American",0,4,0,1,4,"Possession of Cocaine",1,"Low"
"6",24,"Male","Less than 25","African-American",0,4,0,1,4,"Possession of Cocaine",1,"Low"
"7",24,"Male","Less than 25","African-American",0,4,0,1,4,"Possession of Cocaine",1,"Low"
"8",24,"Male","Less than 25","African-American",0,4,0,1,4,"Possession of Cocaine",1,"Low"
"9",24,"Male","Less than 25","African-American",0,4,0,1,4,"Possession of Cocaine",1,"Low"
"10",23,"Male","Less than 25","African-American",0,8,1,0,1,"Possession of Cannabis",0,"High"
"11",43,"Male","25 - 45","Other",0,1,0,0,2,"arrest case no charge",0,"Low"
"12",44,"Male","25 - 45","Other",0,1,0,0,0,"Battery",0,"Low"
"13",41,"Male","25 - 45","Caucasian",0,6,0,0,14,"Possession Burglary Tools",1,"Medium"
"14",41,"Male","25 - 45","Caucasian",0,6,0,0,14,"Possession Burglary Tools",1,"Medium"
"15",43,"Male","25 - 45","Other",0,4,0,0,3,"arrest case no charge",0,"Low"
"16",43,"Male","25 - 45","Other",0,4,0,0,3,"arrest case no charge",0,"Low"
"17",43,"Male","25 - 45","Other",0,4,0,0,3,"arrest case no charge",0,"Low"
"18",39,"Female","25 - 45","Caucasian",0,1,0,0,0,"Battery",0,"Low"
"19",20,"Male","Less than 25","Caucasian",0,10,0,1,0,"Possession Of Alprazolam",0,"High"
"20",20,"Male","Less than 25","Caucasian",0,10,0,1,0,"Possession Of Alprazolam",0,"High"
"21",20,"Male","Less than 25","Caucasian",0,10,0,1,0,"Possession Of Alprazolam",0,"High"
"22",26,"Female","25 - 45","Caucasian",0,5,0,0,0,"Possession Of Alprazolam",0,"Medium"
"23",26,"Female","25 - 45","Caucasian",0,5,0,0,0,"Possession Of Alprazolam",0,"Medium"
