"SEX","RPTYEAR","STATE","EDUCATION","ADMTYPE","OFFGENERAL","ADMITYR","SENTLGTH","OFFDETAIL","RACE","AGEADMIT"
"1","Male","00","Alabama","<HS diploma/GED","Parole return/revocation","Violent","00","Life, LWOP, Life plus additional years, Death","Robbery","Black, non-Hispanic","45-54 years"
"2","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","10-24.9 years","Larceny","Black, non-Hispanic","45-54 years"
"3","Male","00","Alabama","Any college","New court commitment","Public order","00","2-4.9 years","Public order","White, non-Hispanic","45-54 years"
"4","Male","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","10-24.9 years","Drugs (includes possession, distribution, trafficking, other)","White, non-Hispanic","35-44 years"
"5","Male","00","Alabama","<HS diploma/GED","Parole return/revocation","Violent","00",">=25 years","Robbery","Black, non-Hispanic","35-44 years"
"6","Male","00","Alabama","<HS diploma/GED","Parole return/revocation","Drugs","00","10-24.9 years","Drugs (includes possession, distribution, trafficking, other)","Black, non-Hispanic","35-44 years"
"7","Male","00","Alabama","<HS diploma/GED","New court commitment","Public order","00","10-24.9 years","Public order","Black, non-Hispanic","18-24 years"
"8","Male","00","Alabama","<HS diploma/GED","Parole return/revocation","Violent","00","10-24.9 years","Robbery","Black, non-Hispanic","35-44 years"
"9","Female","00","Alabama","<HS diploma/GED","New court commitment","Property","00","10-24.9 years","Fraud","Black, non-Hispanic","25-34 years"
"10","Male","00","Alabama","HS diploma/GED","Other admission (including unsentenced, transfer, AWOL/escapee return)","Violent","00","10-24.9 years","Robbery","White, non-Hispanic","35-44 years"
"11","Male","00","Alabama","<HS diploma/GED","New court commitment","Violent","00","Life, LWOP, Life plus additional years, Death","Robbery","Black, non-Hispanic","25-34 years"
"12","Male","00","Alabama","HS diploma/GED","New court commitment","Violent","00",">=25 years","Robbery","Black, non-Hispanic","18-24 years"
"13","Male","00","Alabama","HS diploma/GED","Parole return/revocation","Drugs","00","10-24.9 years","Drugs (includes possession, distribution, trafficking, other)","Black, non-Hispanic","45-54 years"
"14","Male","00","Alabama","<HS diploma/GED","New court commitment","Violent","00","5-9.9 years","Robbery","White, non-Hispanic","18-24 years"
"15","Male","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","2-4.9 years","Drugs (includes possession, distribution, trafficking, other)","Black, non-Hispanic","25-34 years"
"16","Male","00","Alabama","HS diploma/GED","New court commitment","Drugs","00","10-24.9 years","Drugs (includes possession, distribution, trafficking, other)","White, non-Hispanic","25-34 years"
"17","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Other property offenses","White, non-Hispanic","18-24 years"
"18","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","10-24.9 years","Larceny","White, non-Hispanic","25-34 years"
"19","Male","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","5-9.9 years","Drugs (includes possession, distribution, trafficking, other)","White, non-Hispanic","35-44 years"
"20","Male","00","Alabama","HS diploma/GED","New court commitment","Property","00","10-24.9 years","Larceny","Black, non-Hispanic","25-34 years"
"21","Male","00","Alabama","<HS diploma/GED","New court commitment","Violent","00",">=25 years","Robbery","Black, non-Hispanic","18-24 years"
"22","Male","00","Alabama","HS diploma/GED","New court commitment","Drugs","00","2-4.9 years","Drugs (includes possession, distribution, trafficking, other)","Black, non-Hispanic","25-34 years"
"23","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","1-1.9 years","Other property offenses","Black, non-Hispanic","18-24 years"
"24","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","< 1 year","Other property offenses","Black, non-Hispanic","18-24 years"
"25","Male","00","Alabama","<HS diploma/GED","Parole return/revocation","Property","00","2-4.9 years","Other property offenses","White, non-Hispanic","18-24 years"
"26","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Larceny","White, non-Hispanic","18-24 years"
"27","Male","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","10-24.9 years","Drugs (includes possession, distribution, trafficking, other)","Black, non-Hispanic","25-34 years"
"28","Male","00","Alabama","HS diploma/GED","Other admission (including unsentenced, transfer, AWOL/escapee return)","Violent","00","10-24.9 years","Aggravated or simple assault","White, non-Hispanic","25-34 years"
"29","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Other property offenses","Black, non-Hispanic","18-24 years"
"30","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Other property offenses","White, non-Hispanic","18-24 years"
"31","Male","00","Alabama","HS diploma/GED","Other admission (including unsentenced, transfer, AWOL/escapee return)","Other/unspecified","00",">=25 years","Other/unspecified","White, non-Hispanic","18-24 years"
"32","Male","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","5-9.9 years","Drugs (includes possession, distribution, trafficking, other)","Black, non-Hispanic","18-24 years"
"33","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Other property offenses","White, non-Hispanic","18-24 years"
"34","Female","00","Alabama","<HS diploma/GED","Other admission (including unsentenced, transfer, AWOL/escapee return)","Property","00","< 1 year","Larceny","Black, non-Hispanic","25-34 years"
"35","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Other property offenses","White, non-Hispanic","18-24 years"
"36","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","1-1.9 years","Fraud","Black, non-Hispanic","25-34 years"
"37","Female","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","< 1 year","Drugs (includes possession, distribution, trafficking, other)","White, non-Hispanic","25-34 years"
"38","Male","00","Alabama","HS diploma/GED","New court commitment","Public order","00","10-24.9 years","Public order","White, non-Hispanic","25-34 years"
"39","Female","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","2-4.9 years","Drugs (includes possession, distribution, trafficking, other)","White, non-Hispanic","25-34 years"
"40","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","5-9.9 years","Motor vehicle theft","Black, non-Hispanic","18-24 years"
"41","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Other property offenses","Black, non-Hispanic","18-24 years"
"42","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","1-1.9 years","Other property offenses","Black, non-Hispanic","18-24 years"
"43","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Other property offenses","Black, non-Hispanic","18-24 years"
"44","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","< 1 year","Other property offenses","Black, non-Hispanic","18-24 years"
"45","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Motor vehicle theft","Black, non-Hispanic","25-34 years"
"46","Male","00","Alabama","<HS diploma/GED","New court commitment","Violent","00","10-24.9 years","Robbery","Black, non-Hispanic","18-24 years"
"47","Male","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","1-1.9 years","Drugs (includes possession, distribution, trafficking, other)","Black, non-Hispanic","45-54 years"
"48","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","1-1.9 years","Other property offenses","White, non-Hispanic","18-24 years"
"49","Female","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","< 1 year","Drugs (includes possession, distribution, trafficking, other)","White, non-Hispanic","35-44 years"
"50","Male","00","Alabama","<HS diploma/GED","New court commitment","Public order","00","< 1 year","Public order","White, non-Hispanic","25-34 years"
"51","Male","00","Alabama","<HS diploma/GED","New court commitment","Violent","00","2-4.9 years","Robbery","Black, non-Hispanic","18-24 years"
"52","Male","00","Alabama","<HS diploma/GED","New court commitment","Violent","00","1-1.9 years","Aggravated or simple assault","White, non-Hispanic","25-34 years"
"53","Male","00","Alabama","<HS diploma/GED","New court commitment","Public order","00","10-24.9 years","Public order","Black, non-Hispanic","35-44 years"
"54","Male","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","2-4.9 years","Drugs (includes possession, distribution, trafficking, other)","Black, non-Hispanic","35-44 years"
"55","Male","00","Alabama","<HS diploma/GED","New court commitment","Public order","00","2-4.9 years","Public order","Black, non-Hispanic","18-24 years"
"56","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Burglary","Black, non-Hispanic","18-24 years"
"57","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Other property offenses","White, non-Hispanic","18-24 years"
"58","Male","00","Alabama","HS diploma/GED","New court commitment","Violent","00",">=25 years","Murder (including non-negligent manslaughter)","White, non-Hispanic","NA"
"59","Male","00","Alabama","Any college","New court commitment","Violent","00",">=25 years","Robbery","Black, non-Hispanic","18-24 years"
"60","Male","00","Alabama","<HS diploma/GED","New court commitment","Violent","00","2-4.9 years","Robbery","Black, non-Hispanic","18-24 years"
"61","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Other property offenses","Black, non-Hispanic","18-24 years"
"62","Female","00","Alabama","<HS diploma/GED","New court commitment","Property","00","1-1.9 years","Larceny","White, non-Hispanic","25-34 years"
"63","Female","00","Alabama","<HS diploma/GED","New court commitment","Violent","00","2-4.9 years","Robbery","Black, non-Hispanic","25-34 years"
"64","Male","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","2-4.9 years","Drugs (includes possession, distribution, trafficking, other)","White, non-Hispanic","18-24 years"
"65","Male","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","2-4.9 years","Drugs (includes possession, distribution, trafficking, other)","White, non-Hispanic","18-24 years"
"66","Male","00","Alabama","<HS diploma/GED","New court commitment","Public order","00","< 1 year","Public order","Black, non-Hispanic","18-24 years"
"67","Male","00","Alabama","HS diploma/GED","New court commitment","Property","00","1-1.9 years","Other property offenses","White, non-Hispanic","18-24 years"
"68","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Other property offenses","Black, non-Hispanic","18-24 years"
"69","Male","00","Alabama","<HS diploma/GED","New court commitment","Public order","00","< 1 year","Public order","White, non-Hispanic","18-24 years"
"70","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Other property offenses","Black, non-Hispanic","18-24 years"
"71","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Larceny","White, non-Hispanic","25-34 years"
"72","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Larceny","Black, non-Hispanic","25-34 years"
"73","Male","00","Alabama","HS diploma/GED","New court commitment","Public order","00","10-24.9 years","Public order","Black, non-Hispanic","35-44 years"
"74","Female","00","Alabama","Any college","New court commitment","Drugs","00","5-9.9 years","Drugs (includes possession, distribution, trafficking, other)","White, non-Hispanic","35-44 years"
"75","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Other property offenses","Black, non-Hispanic","18-24 years"
"76","Female","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Larceny","White, non-Hispanic","18-24 years"
"77","Male","00","Alabama","<HS diploma/GED","New court commitment","Violent","00","10-24.9 years","Robbery","White, non-Hispanic","25-34 years"
"78","Male","00","Alabama","<HS diploma/GED","New court commitment","Public order","00","2-4.9 years","Public order","Black, non-Hispanic","35-44 years"
"79","Male","00","Alabama","<HS diploma/GED","New court commitment","Violent","00","5-9.9 years","Rape/sexual assault","White, non-Hispanic","18-24 years"
"80","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Other property offenses","Black, non-Hispanic","18-24 years"
"81","Male","00","Alabama","<HS diploma/GED","New court commitment","Violent","00","10-24.9 years","Aggravated or simple assault","White, non-Hispanic","18-24 years"
"82","Female","00","Alabama","<HS diploma/GED","New court commitment","Property","00","2-4.9 years","Larceny","White, non-Hispanic","25-34 years"
"83","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","< 1 year","Other property offenses","White, non-Hispanic","18-24 years"
"84","Male","00","Alabama","<HS diploma/GED","New court commitment","Violent","00","Life, LWOP, Life plus additional years, Death","Robbery","Black, non-Hispanic","25-34 years"
"85","Male","00","Alabama","<HS diploma/GED","NA","Violent","00","Life, LWOP, Life plus additional years, Death","Murder (including non-negligent manslaughter)","White, non-Hispanic","25-34 years"
"86","Male","00","Alabama","<HS diploma/GED","NA","Violent","00","Life, LWOP, Life plus additional years, Death","Murder (including non-negligent manslaughter)","White, non-Hispanic","35-44 years"
"87","Male","00","Alabama","<HS diploma/GED","New court commitment","Public order","00","2-4.9 years","Public order","White, non-Hispanic","45-54 years"
"88","Male","00","Alabama","HS diploma/GED","New court commitment","Property","00","Life, LWOP, Life plus additional years, Death","Other property offenses","Black, non-Hispanic","45-54 years"
"89","Male","00","Alabama","<HS diploma/GED","New court commitment","Violent","00","< 1 year","Rape/sexual assault","White, non-Hispanic","35-44 years"
"90","Male","00","Alabama","<HS diploma/GED","New court commitment","Property","00","5-9.9 years","Other property offenses","Black, non-Hispanic","35-44 years"
"91","Male","00","Alabama","HS diploma/GED","New court commitment","Property","00","10-24.9 years","Larceny","White, non-Hispanic","35-44 years"
"92","Male","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","10-24.9 years","Drugs (includes possession, distribution, trafficking, other)","White, non-Hispanic","35-44 years"
"93","Male","00","Alabama","<HS diploma/GED","New court commitment","Public order","00","5-9.9 years","Public order","White, non-Hispanic","35-44 years"
"94","Male","00","Alabama","<HS diploma/GED","New court commitment","Public order","00","5-9.9 years","Public order","White, non-Hispanic","35-44 years"
"95","Male","00","Alabama","HS diploma/GED","Parole return/revocation","Property","00","10-24.9 years","Other property offenses","White, non-Hispanic","35-44 years"
"96","Male","00","Alabama","<HS diploma/GED","New court commitment","Drugs","00","5-9.9 years","Drugs (includes possession, distribution, trafficking, other)","Black, non-Hispanic","35-44 years"
