"SEX" "RPTYEAR" "STATE" "EDUCATION" "ADMTYPE" "OFFGENERAL" "ADMITYR" "SENTLGTH" "OFFDETAIL" "RACE" "AGEADMIT"
"1" "Male" 2000 "Alabama" "<HS diploma/GED" "Parole return/revocation" "Violent" 2000 "Life, LWOP, Life plus additional years, Death" "Robbery" "Black, non-Hispanic" "45-54 years"
"2" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "10-24.9 years" "Larceny" "Black, non-Hispanic" "45-54 years"
"3" "Male" 2000 "Alabama" "Any college" "New court commitment" "Public order" 2000 "2-4.9 years" "Public order" "White, non-Hispanic" "45-54 years"
"4" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "White, non-Hispanic" "35-44 years"
"5" "Male" 2000 "Alabama" "<HS diploma/GED" "Parole return/revocation" "Violent" 2000 ">=25 years" "Robbery" "Black, non-Hispanic" "35-44 years"
"6" "Male" 2000 "Alabama" "<HS diploma/GED" "Parole return/revocation" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "35-44 years"
"7" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "10-24.9 years" "Public order" "Black, non-Hispanic" "18-24 years"
"8" "Male" 2000 "Alabama" "<HS diploma/GED" "Parole return/revocation" "Violent" 2000 "10-24.9 years" "Robbery" "Black, non-Hispanic" "35-44 years"
"9" "Female" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "10-24.9 years" "Fraud" "Black, non-Hispanic" "25-34 years"
"10" "Male" 2000 "Alabama" "HS diploma/GED" "Other admission (including unsentenced, transfer, AWOL/escapee return)" "Violent" 2000 "10-24.9 years" "Robbery" "White, non-Hispanic" "35-44 years"
"11" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "Life, LWOP, Life plus additional years, Death" "Robbery" "Black, non-Hispanic" "25-34 years"
"12" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Violent" 2000 ">=25 years" "Robbery" "Black, non-Hispanic" "18-24 years"
"13" "Male" 2000 "Alabama" "HS diploma/GED" "Parole return/revocation" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "45-54 years"
"14" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "5-9.9 years" "Robbery" "White, non-Hispanic" "18-24 years"
"15" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "2-4.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "25-34 years"
"16" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "White, non-Hispanic" "25-34 years"
"17" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "White, non-Hispanic" "18-24 years"
"18" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "10-24.9 years" "Larceny" "White, non-Hispanic" "25-34 years"
"19" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "5-9.9 years" "Drugs (includes possession, distribution, trafficking, other)" "White, non-Hispanic" "35-44 years"
"20" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Property" 2000 "10-24.9 years" "Larceny" "Black, non-Hispanic" "25-34 years"
"21" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 ">=25 years" "Robbery" "Black, non-Hispanic" "18-24 years"
"22" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Drugs" 2000 "2-4.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "25-34 years"
"23" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "1-1.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"24" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "< 1 year" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"25" "Male" 2000 "Alabama" "<HS diploma/GED" "Parole return/revocation" "Property" 2000 "2-4.9 years" "Other property offenses" "White, non-Hispanic" "18-24 years"
"26" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Larceny" "White, non-Hispanic" "18-24 years"
"27" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "25-34 years"
"28" "Male" 2000 "Alabama" "HS diploma/GED" "Other admission (including unsentenced, transfer, AWOL/escapee return)" "Violent" 2000 "10-24.9 years" "Aggravated or simple assault" "White, non-Hispanic" "25-34 years"
"29" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"30" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "White, non-Hispanic" "18-24 years"
"31" "Male" 2000 "Alabama" "HS diploma/GED" "Other admission (including unsentenced, transfer, AWOL/escapee return)" "Other/unspecified" 2000 ">=25 years" "Other/unspecified" "White, non-Hispanic" "18-24 years"
"32" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "5-9.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "18-24 years"
